group,salicylate,time,,,,,,,
alk,75,30,,,,,,,
alk,0,30,,,,,,,
alk,280,30,,,,,,,
alk,520,30,,,,,,,
alk,684,30,,,,,,,
alk,0,30,,,,,,,
alk,220,30,,,,,,,
alk,662,30,,,,,,,
alk,960,30,,,,,,,
alk,0,30,,,,,,,
alk,480,30,,,,,,,
alk,200,30,,,,,,,
alk,435,30,,,,,,,
alk,0,30,,,,,,,
alk,405,30,,,,,,,
alk,210,30,,,,,,,
normal,2550,30,,,,,,,
normal,555,30,,,,,,,
normal,0,30,,,,,,,
normal,150,30,,,,,,,
normal,1150,30,,,,,,,
normal,0,30,,,,,,,
normal,0,30,,,,,,,
normal,242,30,,,,,,,
normal,0,30,,,,,,,
normal,600,30,,,,,,,
normal,1125,30,,,,,,,
normal,0,30,,,,,,,
normal,425,30,,,,,,,
normal,390,30,,,,,,,
normal,0,30,,,,,,,
normal,200,30,,,,,,,
alk,1440,60,,,,,,,
alk,1100,60,,,,,,,
alk,1710,60,,,,,,,
alk,2220,60,,,,,,,
alk,1560,60,,,,,,,
alk,1575,60,,,,,,,
alk,1250,60,,,,,,,
alk,1100,60,,,,,,,
alk,1040,60,,,,,,,
alk,2475,60,,,,,,,
alk,1470,60,,,,,,,
alk,2000,60,,,,,,,
alk,3220,60,,,,,,,
alk,2420,60,,,,,,,
alk,3750,60,,,,,,,
alk,700,60,,,,,,,
normal,700,60,,,,,,,
normal,2380,60,,,,,,,
normal,2640,60,,,,,,,
normal,1870,60,,,,,,,
normal,4080,60,,,,,,,
normal,1800,60,,,,,,,
normal,6670,60,,,,,,,
normal,3740,60,,,,,,,
normal,2275,60,,,,,,,
normal,2320,60,,,,,,,
normal,3000,60,,,,,,,
normal,2145,60,,,,,,,
normal,3850,60,,,,,,,
normal,1980,60,,,,,,,
normal,3420,60,,,,,,,
normal,2640,60,,,,,,,
alk,15930,90,,,,,,,
alk,11000,90,,,,,,,
alk,18330,90,,,,,,,
alk,1920,90,,,,,,,
alk,14160,90,,,,,,,
alk,17500,90,,,,,,,
alk,16960,90,,,,,,,
alk,26125,90,,,,,,,
alk,11760,90,,,,,,,
alk,17920,90,,,,,,,
alk,12320,90,,,,,,,
alk,10600,90,,,,,,,
alk,16000,90,,,,,,,
alk,10500,90,,,,,,,
alk,5590,90,,,,,,,
alk,15750,90,,,,,,,
normal,1200,90,,,,,,,
normal,8990,90,,,,,,,
normal,4500,90,,,,,,,
normal,3900,90,,,,,,,
normal,9520,90,,,,,,,
normal,4200,90,,,,,,,
normal,7310,90,,,,,,,
normal,11400,90,,,,,,,
normal,13275,90,,,,,,,
normal,4500,90,,,,,,,
normal,4495,90,,,,,,,
normal,13750,90,,,,,,,
normal,9600,90,,,,,,,
normal,10880,90,,,,,,,
normal,8740,90,,,,,,,
normal,3150,90,,,,,,,
alk,11880,120,,,,,,,
alk,30590,120,,,,,,,
alk,23970,120,,,,,,,
alk,13440,120,,,,,,,
alk,34500,120,,,,,,,
alk,28290,120,,,,,,,
alk,30870,120,,,,,,,
alk,27200,120,,,,,,,
alk,26560,120,,,,,,,
alk,35200,120,,,,,,,
alk,11520,120,,,,,,,
alk,20640,120,,,,,,,
alk,26250,120,,,,,,,
alk,23040,120,,,,,,,
alk,27775,120,,,,,,,
alk,24570,120,,,,,,,
normal,13500,120,,,,,,,
normal,7560,120,,,,,,,
normal,10725,120,,,,,,,
normal,8200,120,,,,,,,
normal,9890,120,,,,,,,
normal,15950,120,,,,,,,
normal,12060,120,,,,,,,
normal,12600,120,,,,,,,
normal,7080,120,,,,,,,
normal,12540,120,,,,,,,
normal,14625,120,,,,,,,
normal,11000,120,,,,,,,
normal,11020,120,,,,,,,
normal,13570,120,,,,,,,
normal,12740,120,,,,,,,
normal,7820,120,,,,,,,
alk,23310,150,,,,,,,
alk,43470,150,,,,,,,
alk,35850,150,,,,,,,
alk,26400,150,,,,,,,
alk,23370,150,,,,,,,
alk,27840,150,,,,,,,
alk,36200,150,,,,,,,
alk,38400,150,,,,,,,
alk,7840,150,,,,,,,
alk,34250,150,,,,,,,
alk,55860,150,,,,,,,
alk,24780,150,,,,,,,
alk,35000,150,,,,,,,
alk,29000,150,,,,,,,
alk,27550,150,,,,,,,
alk,35000,150,,,,,,,
normal,25280,150,,,,,,,
normal,14200,150,,,,,,,
normal,13500,150,,,,,,,
normal,18630,150,,,,,,,
normal,20250,150,,,,,,,
normal,15660,150,,,,,,,
normal,18240,150,,,,,,,
normal,14280,150,,,,,,,
normal,12420,150,,,,,,,
normal,26280,150,,,,,,,
normal,12880,150,,,,,,,
normal,17750,150,,,,,,,
normal,17700,150,,,,,,,
normal,14280,150,,,,,,,
normal,18960,150,,,,,,,
normal,13800,150,,,,,,,
alk,19550,180,,,,,,,
alk,22550,180,,,,,,,
alk,18430,180,,,,,,,
alk,22500,180,,,,,,,
alk,9900,180,,,,,,,
alk,16400,180,,,,,,,
alk,30000,180,,,,,,,
alk,36680,180,,,,,,,
alk,19000,180,,,,,,,
alk,28500,180,,,,,,,
alk,50020,180,,,,,,,
alk,11760,180,,,,,,,
alk,16500,180,,,,,,,
alk,25920,180,,,,,,,
alk,23360,180,,,,,,,
alk,16720,180,,,,,,,
normal,21750,180,,,,,,,
normal,23000,180,,,,,,,
normal,9010,180,,,,,,,
normal,22880,180,,,,,,,
normal,18480,180,,,,,,,
normal,14720,180,,,,,,,
normal,21870,180,,,,,,,
normal,12730,180,,,,,,,
normal,16000,180,,,,,,,
normal,22990,180,,,,,,,
normal,21875,180,,,,,,,
normal,19320,180,,,,,,,
normal,17360,180,,,,,,,
normal,14600,180,,,,,,,
normal,18600,180,,,,,,,
normal,11375,180,,,,,,,
alk,11210,210,,,,,,,
alk,13600,210,,,,,,,
alk,9460,210,,,,,,,
alk,20400,210,,,,,,,
alk,16490,210,,,,,,,
alk,13870,210,,,,,,,
alk,19720,210,,,,,,,
alk,14110,210,,,,,,,
alk,21840,210,,,,,,,
alk,26520,210,,,,,,,
alk,26350,210,,,,,,,
alk,8800,210,,,,,,,
alk,20020,210,,,,,,,
alk,21250,210,,,,,,,
alk,27300,210,,,,,,,
alk,14960,210,,,,,,,
normal,15660,210,,,,,,,
normal,12600,210,,,,,,,
normal,11800,210,,,,,,,
normal,14500,210,,,,,,,
normal,17380,210,,,,,,,
normal,13500,210,,,,,,,
normal,8190,210,,,,,,,
normal,14160,210,,,,,,,
normal,18700,210,,,,,,,
normal,15975,210,,,,,,,
normal,8060,210,,,,,,,
normal,30000,210,,,,,,,
normal,9280,210,,,,,,,
normal,12780,210,,,,,,,
normal,19750,210,,,,,,,
normal,17600,210,,,,,,,